id,pais,cultivo
ID_1706886541043,Colombia,potato
ID_1706905924273,Colombia,potato
ID_1706906519353,Colombia,potato
ID_1706906585880,Colombia,potato
ID_1706907994076,Colombia,potato
ID_1707167291988,Honduras,bean
ID_1707167766933,Honduras,bean
ID_1707216803822,Colombia,potato
ID_1707216885757,Colombia,onion
ID_1707216990465,Colombia,potato
ID_1707217669995,Colombia,potato
ID_1707337378022,Honduras,tomato
ID_1707341020081,Honduras,coffee
ID_1707413124340,Colombia,potato
ID_1707413601871,Colombia,potato
ID_1707413701629,Colombia,potato
ID_1707413751241,Colombia,potato
ID_1707413920931,Colombia,potato
ID_1707414435887,Colombia,tomato
ID_1707414816827,Colombia,onion
ID_1707442674510,Colombia,maize
ID_1707442766280,Colombia,maize
ID_1707446428968,Colombia,maize
ID_1707494912671,Colombia,coffee
ID_1707495315474,Colombia,coffee
ID_1707495516825,Colombia,potato
ID_1707503099922,Colombia,tomato
ID_1707529700369,Colombia,tomato
ID_1707529772899,Colombia,tomato
ID_1707529870811,Colombia,potato
ID_1707575590884,Colombia,tomato
ID_1707576095541,Colombia,tomato
ID_1707576159792,Colombia,tomato
ID_1707576451722,Colombia,default
ID_1707741909539,Colombia,coffee
ID_1707747270968,Colombia,coffee
ID_1707747556038,Colombia,coffee
ID_1707752855102,Colombia,eggplant
ID_1707757725797,Colombia,potato
ID_1707779015043,Colombia,potato
ID_1707779862232,Colombia,onion
ID_1707780110116,Colombia,potato
ID_1707781160763,Colombia,onion
ID_1707781491833,Colombia,potato
ID_1707792827045,Costa Rica,onion
ID_1707827088702,Colombia,maize
ID_1707827406497,Colombia,maize
ID_1707832573926,Colombia,potato
ID_1707832844783,Colombia,potato
ID_1707837403712,Guatemala,potato
ID_1707837856536,Colombia,potato
ID_1707838081790,Colombia,potato
ID_1707838223118,Colombia,potato
ID_1707838311789,Colombia,potato
ID_1707838454346,Colombia,potato
ID_1707838522491,Colombia,potato
ID_1707838748332,Colombia,potato
ID_1707838894656,Colombia,potato
ID_1707841173467,Colombia,coffee
ID_1707841490254,Colombia,coffee
ID_1707846193756,Colombia,maize
ID_1707856487938,Colombia,tomato
ID_1707856487938,Colombia,tomato
ID_1707870564019,Colombia,maize
ID_1707887294864,Colombia,maize
ID_1707918954695,Colombia,potato
ID_1707919040669,Colombia,potato
ID_1707919179909,Colombia,potato
ID_1707919263671,Colombia,potato
ID_1707919396748,Colombia,potato
ID_1707920059338,Colombia,potato
ID_1707924483877,Colombia,coffee
ID_1707926896702,Colombia,maize
ID_1707927143842,Colombia,maize
ID_1707927254373,Colombia,maize
ID_1707928335099,Colombia,maize
